STATION,DATE,TAVG,TMIN,TMAX,AWND,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,1/1/2005,44,35,53,8.95,25.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,1/2/2005,36,28,44,9.4,14.1,,,,,,,,,,,,,,,1,,1,,,
USW00014765,1/3/2005,49,44,53,6.93,17,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,1/4/2005,42,39,45,6.93,16.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,1/5/2005,36,28,43,7.83,17,1,,,,,,,,,,,1,,,1,,1,,,
USW00014765,1/6/2005,30,25,35,8.72,15,1,,,1,,1,,,,,,1,1,1,1,1,1,,,
USW00014765,1/7/2005,33,28,37,8.72,23.9,1,,,,,,,,,,,1,,,,,,,,
USW00014765,1/8/2005,32,29,34,6.04,17,1,,,1,,,,,,,,1,1,,1,,1,,,
USW00014765,1/9/2005,31,28,34,6.04,15,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,1/10/2005,37,31,43,6.71,17,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,1/11/2005,34,30,38,5.37,10.1,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,1/12/2005,33,29,37,7.61,10.1,1,,,,,1,,,,,,1,1,1,1,1,1,,,
USW00014765,1/13/2005,46,33,59,6.49,30,1,1,,,,,,,,,,1,1,,1,,,,,
USW00014765,1/14/2005,48,33,62,17.9,40,1,,,1,,,,,,,,1,1,,1,,,,,
USW00014765,1/15/2005,29,25,33,6.71,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,1/16/2005,27,23,30,13.42,25.1,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,1/17/2005,22,15,29,13.87,25.1,1,,,,,,,,1,,,1,,,,,1,,,
USW00014765,1/18/2005,11,6,15,14.09,23,,,,,,,,,,,,,,,,,,,,
USW00014765,1/19/2005,16,3,29,3.36,10.1,1,1,,,,,,,,,,1,,,,,1,,,1
USW00014765,1/20/2005,24,18,29,9.4,21,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,1/21/2005,11,3,18,12.08,21,,,,,,,,,,,,,,,,,,,,
USW00014765,1/22/2005,13,-2,27,8.72,23,1,1,,,,,,,1,,,1,,,,,1,,,1
USW00014765,1/23/2005,17,5,28,26.84,45,1,1,,,,,,,1,,,1,,,,,1,,,1
USW00014765,1/24/2005,14,4,23,11.41,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,1/25/2005,21,15,27,8.72,19.9,,,,,,,,,,,,,,,,,1,,,
USW00014765,1/26/2005,23,17,29,13.2,25.9,1,1,,,,,,,1,,,1,,,,,1,,,1
USW00014765,1/27/2005,12,6,18,15.43,28,,,,,,,,,,,,,,,,,1,,,
USW00014765,1/28/2005,12,2,22,8.95,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,1/29/2005,19,2,36,4.25,10.1,,,,,,,,,,,,,,,,,,,,
USW00014765,1/30/2005,32,24,39,8.72,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,1/31/2005,24,16,31,11.41,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2/1/2005,23,9,36,2.01,6,,,,,,,,,,,,,,,,,,,,
USW00014765,2/2/2005,25,11,38,8.05,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2/3/2005,30,23,36,9.62,15,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,2/4/2005,34,31,36,13.2,23,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,2/5/2005,41,31,50,10.51,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2/6/2005,37,29,45,11.18,21,,,,,,,,,,,,,,,,,,,,
USW00014765,2/7/2005,40,28,52,3.58,8.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2/8/2005,34,25,43,4.03,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2/9/2005,44,34,53,4.7,10.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2/10/2005,36,30,41,8.5,21,1,1,,,,,,,,,,1,1,,1,,1,,,
USW00014765,2/11/2005,32,27,36,16.78,30,,,,,,,,,,,,,,,,,1,,,
USW00014765,2/12/2005,33,26,39,9.4,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2/13/2005,34,26,41,8.72,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2/14/2005,31,21,40,9.17,17.9,1,,,,,,,,,,,1,,,1,,1,,,
USW00014765,2/15/2005,43,34,52,9.62,25.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,2/16/2005,43,31,54,8.95,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,2/17/2005,34,29,39,8.05,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2/18/2005,25,16,34,13.2,23,,,,,,,,,,,,,,,,,1,,,
USW00014765,2/19/2005,21,13,29,9.17,15,,,,,,,,,,,,,,,,,,,,
USW00014765,2/20/2005,26,18,34,6.93,17,,,,,,,,,,,,,,,,,1,,,
USW00014765,2/21/2005,29,25,33,10.96,17,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,2/22/2005,30,26,33,10.07,21,1,,,,,1,,,,,,1,,1,1,,1,,,
USW00014765,2/23/2005,31,24,37,8.5,17.9,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2/24/2005,24,18,29,10.07,17,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2/25/2005,25,19,30,10.29,21,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,2/26/2005,24,13,35,6.49,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2/27/2005,28,20,35,9.17,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2/28/2005,27,18,36,10.74,23.9,1,1,,,,,,,,,,1,,,,,1,,,1
USW00014765,3/1/2005,30,27,32,10.74,25.1,1,,,,,,,,,,,1,,,,,1,,,1
USW00014765,3/2/2005,30,24,35,14.54,25.1,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,3/3/2005,24,19,29,14.32,23,,,,,,,,,,,,,,,,,,,,
USW00014765,3/4/2005,25,16,33,10.29,21,,,,,,,,,,,,,,,,,,,,
USW00014765,3/5/2005,30,19,40,8.28,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,3/6/2005,34,26,41,9.4,25.1,,,,,,,,,,,,,,,,,1,,,
USW00014765,3/7/2005,40,32,47,10.51,23.9,,,,,,,,,,,,,,,,,,,,
USW00014765,3/8/2005,30,16,44,14.32,36.9,1,1,,1,,,,,1,,,1,,,1,,1,,,1
USW00014765,3/9/2005,18,11,25,16.55,32,,,,,,,,,1,,,,,,,,1,,,
USW00014765,3/10/2005,22,13,30,9.17,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,3/11/2005,25,18,32,5.59,15,1,1,,,,,,,,,,1,,,,,1,,,1
USW00014765,3/12/2005,34,32,35,8.05,17,1,1,,,,,,,,,,1,,,1,,1,,,
USW00014765,3/13/2005,34,30,38,6.04,13,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,3/14/2005,34,25,42,10.96,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,3/15/2005,37,28,46,11.63,23,,,,,,,,,,,,,,,,,,,,
USW00014765,3/16/2005,38,29,46,10.96,21,,,,,,,,,,,,,,,,,,,,
USW00014765,3/17/2005,37,27,46,7.38,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,3/18/2005,37,26,47,8.5,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,3/19/2005,39,29,49,6.71,15,,,,,,,,,,,,,,,,,,,,
USW00014765,3/20/2005,38,27,48,5.82,14.1,,,,,,,,,,,,,,,1,,,,,
USW00014765,3/21/2005,36,29,43,3.58,12.1,1,,,,,,,,,,,1,,,1,,1,,,
USW00014765,3/22/2005,41,26,55,8.5,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,3/23/2005,38,29,46,9.17,17,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,3/24/2005,36,30,41,13.2,25.9,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,3/25/2005,41,30,52,8.5,17,,,,,,,,,,,,,,,,,,,,
USW00014765,3/26/2005,38,29,47,8.28,17,,,,,,,,,,,,,,,,,,,,
USW00014765,3/27/2005,37,27,47,5.82,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,3/28/2005,43,35,50,8.5,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,3/29/2005,47,41,53,14.32,23.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,3/30/2005,50,39,61,8.28,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,3/31/2005,44,32,55,6.49,14.1,,,,,,,,1,,,,,,,,,,,,
USW00014765,4/1/2005,45,38,52,6.49,16.1,,,,,,,,,,,,,,,1,,,,,
USW00014765,4/2/2005,48,39,57,14.32,36,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,4/3/2005,48,40,56,14.54,38,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,4/4/2005,48,40,55,11.41,21,,,,,,,,,,,,,,,1,,,,,
USW00014765,4/5/2005,50,36,64,8.5,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,4/6/2005,49,40,57,6.49,19.9,,,,,,,,,,,,,,,,,,,,
