mpg,hp,weight,accel,size,displ,origin_Asia,origin_US,origin_Europe
18,88,3139,14.5,15,250,0,1,0
9,193,4732,18.5,20,304,0,1,0
36.1,60,1800,16.4,10,91,1,0,0
18.5,98,3525,19,15,250,0,1,0
34.3,78,2188,15.8,10,97,0,0,1
32.9,100,2615,14.8,10,119,1,0,0
32.2,75,2265,15.2,10,108,1,0,0
22,76,2511,18,10,121,0,0,1
15,130,4295,14.9,20,302,0,1,0
17,140,3449,10.5,20,302,0,1,0
44,52,2130,24.6,10,97,0,0,1
24.5,88,2740,16,10,151,0,1,0
32,84,2295,11.6,10,135,0,1,0
14,148,4657,13.5,20,351,0,1,0
15,150,3761,9.5,20,400,0,1,0
13,130,4098,14,20,307,0,1,0
36,58,1825,18.6,10,79,0,0,1
31,82,2720,19.4,10,119,0,1,0
32,65,1836,21,10,71,1,0,0
21.5,110,2720,13.5,7.5,80,1,0,0
19,95,3264,16,15,225,0,1,0
17,110,3907,21,15,231,0,1,0
16,140,4141,14,20,302,0,1,0
15,170,3563,10,20,383,0,1,0
23,78,2592,18.5,10,140,0,1,0
26,90,2265,15.5,10,98,0,0,1
32,96,2665,13.9,10,144,1,0,0
24,95,2372,15,10,113,1,0,0
21,110,3039,15,15,231,0,1,0
31.3,75,2542,17.5,10,120,1,0,0
32.7,132,2910,11.4,15,168,1,0,0
15,150,3892,12.5,20,304,0,1,0
23,83,2639,17,10,140,0,1,0
17.6,85,3465,16.6,15,225,0,1,0
28,86,2464,15.5,10,107,0,0,1
24,75,2158,15.5,10,116,0,0,1
14,140,4638,16,20,302,0,1,0
18.1,139,3205,11.2,20,302,0,1,0
36,70,2125,17.3,10,98,0,1,0
29,52,2035,22.2,10,85,0,1,0
35.1,60,1760,16.1,10,81,1,0,0
36,84,2370,13,10,135,0,1,0
16.5,138,3955,13.2,20,351,0,1,0
16,180,4220,11.1,20,400,0,1,0
29.9,65,2380,20.7,10,98,0,1,0
31,67,1950,19,10,79,1,0,0
27.2,97,2300,14.7,10,119,1,0,0
14,150,4457,13.5,20,318,0,1,0
32.1,70,2120,15.5,10,98,0,1,0
15,100,3336,17,15,250,0,1,0
12,180,4955,11.5,20,383,0,1,0
17.6,129,3725,13.4,20,302,0,1,0
25,95,2228,14,10,113,1,0,0
28.4,90,2670,16,10,151,0,1,0
29,83,2219,16.5,10,98,0,0,1
30.9,75,2230,14.5,10,105,0,1,0
20,100,2914,16,15,232,0,1,0
20.8,85,3070,16.7,15,200,0,1,0
22,112,2835,14.7,15,232,0,1,0
38,67,1965,15,10,91,1,0,0
31,65,1773,19,10,71,1,0,0
19,88,3302,15.5,15,250,0,1,0
16,100,3781,17,15,250,0,1,0
25,75,2542,17,10,140,0,1,0
22,100,3233,15.4,15,225,0,1,0
26,70,1955,20.5,10,91,0,1,0
13,145,4055,12,20,350,0,1,0
19.9,110,3365,15.5,20,260,0,1,0
11,210,4382,13.5,20,318,0,1,0
28,80,2164,15,10,98,0,1,0
15.5,145,4140,13.7,20,318,0,1,0
26,69,2189,18,10,96,0,0,1
14,150,4237,14.5,20,318,0,1,0
12,198,4952,11.5,20,429,0,1,0
24.2,120,2930,13.8,15,146,1,0,0
