yyyy,mm,tmax,tmin,af,rain
1883,1,6.3,1.7,6,122.1
1883,2,8,2.8,2,69.8
1883,3,4.8,-1.6,23,29.6
1883,4,12.2,3.8,2,74
1883,5,14.7,6.2,0,31.2
1883,6,17.7,9.3,0,66.2
1883,7,18.8,10.5,0,77.6
1883,8,19.8,10.9,0,32.5
1883,9,16.8,10,0,137.4
1883,10,12.7,6.4,0,102.9
1883,11,8.6,3.5,1,83.6
1883,12,7.3,2.4,4,48.6
1884,1,8.4,3.5,3,127.7
1884,2,8,2.1,3,49.4
1884,3,9.5,2.5,4,50.4
1884,4,10.6,3.3,4,48
1884,5,15.7,6.4,0,33.1
1884,6,18.2,8.7,0,39.7
1884,7,20.8,11.8,0,80.1
1884,8,22.6,11.8,0,36.8
1884,9,18.4,10.5,0,34
1884,10,12.3,6.3,0,36.5
1884,11,9,3.4,4,30.9
1884,12,6.6,1.7,7,81.6
1885,1,4.7,0.4,15,56.9
1885,2,8.5,2.4,5,76.4
1885,3,7.8,0.8,10,41.6
1885,4,11.6,3.4,3,49.5
1885,5,12.9,4.4,0,58.1
1885,6,18.6,9.2,0,76.4
1885,7,21,11.4,0,17.8
1885,8,17.1,9.4,0,59.5
1885,9,16.4,7.8,0,85.3
1885,10,10.5,4.5,0,172.5
1885,11,8,3.3,4,62.2
1885,12,7,0.9,11,31.9
1886,1,4.5,-0.7,20,121.8
1886,2,3.9,-1,20,14.2
1886,3,6.1,0.2,18,84.8
1886,4,10.9,2.8,2,47.5
1886,5,13.9,5.7,0,181
1886,6,17.3,8.5,0,26.5
1886,7,20.8,11.5,0,94.2
1886,8,20.8,11.7,0,49.7
1886,9,17.7,9.8,0,30.8
1886,10,13.8,8.1,0,125.1
1886,11,9.7,3.8,0,37
1886,12,4.9,-0.5,12,127.7
1887,1,5.1,-0.6,16,61.2
1887,2,7.5,0.6,12,13.6
1887,3,7.1,0.1,16,42.5
1887,4,11,5.1,0,26.3
1887,5,12.3,5.3,0,46.6
1887,6,21,10.2,0,11.2
1887,7,23.7,12.6,0,25.2
1887,8,20.7,10.6,0,40.7
1887,9,15.3,8,0,57.2
1887,10,10.6,4.4,4,58.8
1887,11,7.6,2.6,7,41
1887,12,6.2,0.4,15,66.8
1888,1,6.4,1,14,22.1
1888,2,4,0,21,49.5
1888,3,5.3,-0.1,19,98.1
1888,4,8.9,2.7,8,52.6
1888,5,15.8,6.1,0,16.3
1888,6,16.9,8.4,0,61.8
1888,7,16.2,9.6,0,129.3
1888,8,18,10.2,0,61.1
1888,9,16,8.8,0,22.9
1888,10,11.8,4.5,3,17.4
1888,11,9.7,4.9,0,160.2
1888,12,7.7,2.7,6,52.2
1889,1,6.1,0.9,9,39
1889,2,6,0.6,14,50.8
1889,3,7.5,1.4,9,107.6
1889,4,9.9,3.6,0,92
1889,5,16.4,8.4,0,97.7
1889,6,20,10.5,0,6.1
1889,7,18.7,10.8,0,62.8
1889,8,18.7,11.3,0,69.6
1889,9,16.1,9.5,0,46.8
1889,10,11.2,5.5,0,100.1
1889,11,9.4,4.4,4,18.2
1889,12,6.4,1.4,10,39.4
1890,1,8.6,2.3,3,103.7
1890,2,5.7,1.1,10,21.4
1890,3,9.6,3,8,62.9
1890,4,9.9,2.9,2,20.8
1890,5,16.2,6.8,0,79.9
1890,6,17.2,10,0,48.4
1890,7,17.7,10.8,0,57.4
1890,8,18,10.8,0,78.2
1890,9,19.4,11,0,37.5
1890,10,13.5,7,1,37.1
1890,11,9,2.8,6,122.4
1890,12,1.9,-2.3,25,16.8
1891,1,4.4,-0.8,18,59.5
1891,2,8.8,1.4,9,1.8
1891,3,7,1.1,10,53.6
1891,4,8.5,1.9,3,53
1891,5,13.1,5.3,1,86.8
1891,6,18,9.7,0,89.2
1891,7,18.9,11,0,57.6
1891,8,17.5,10.9,0,83.5
